Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Affects versions,Affects versions,Fix versions,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Atlas project key),Custom field (Atlas project status),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field ([CHART] Date of First Response),Comment,Status Category,Status Category Changed
Inquiry Transaction Missing Saving Account,S1A-30,10057,Bug,To Do,S1A,Seng637-11-assign1,software,Mohammad Mohaiminul Islam,712020:e633d865-9046-4bea-9930-c03e1db198cf,,High,,,,Kunj Patel,712020:bd2fab97-24e8-4f4c-909e-8d9b0cb75f9b,Kunj Patel,712020:bd2fab97-24e8-4f4c-909e-8d9b0cb75f9b,04/Feb/24 7:04 PM,04/Feb/24 7:04 PM,05/Feb/24 9:40 PM,,ATM System - Lab 1 Version 1.0,,,,0,"Preconditions:

* v1.0
* Login using card 1

Steps to recreate:

# Select inquiry transaction

Issue for v1.0: Menu should show savings account but only shows checking and money market.

!Screenshot 2024-02-04 at 4.58.46 PM.png|width=764,height=406!",,Kunj Patel,712020:bd2fab97-24e8-4f4c-909e-8d9b0cb75f9b,,,,,,,,,04/Feb/24 7:04 PM;712020:bd2fab97-24e8-4f4c-909e-8d9b0cb75f9b;Screenshot 2024-02-04 at 4.58.46 PM.png;https://ucalgary-abhijeetkarmakar.atlassian.net/rest/api/3/attachment/content/10029,,,,,,,,,,,,,,,,,0|i000af:,,,,,,,,,,,,To Do,04/Feb/24 7:04 PM
Incorrect Transfer Transaction,S1A-29,10056,Bug,To Do,S1A,Seng637-11-assign1,software,Mohammad Mohaiminul Islam,712020:e633d865-9046-4bea-9930-c03e1db198cf,,High,,,,Kunj Patel,712020:bd2fab97-24e8-4f4c-909e-8d9b0cb75f9b,Kunj Patel,712020:bd2fab97-24e8-4f4c-909e-8d9b0cb75f9b,04/Feb/24 6:54 PM,04/Feb/24 6:54 PM,05/Feb/24 9:40 PM,,,,,,0,"Preconditions: 

* v1.0, v1.1
* Login using card 1

Steps to recreate:

# Select Transfer
# Select from Checking
# Select to Savings
# Enter $100

Issue for v1.0: Transferred $100 from checking to saving but transferred amount shows $99.50 and message shows from savings to checking.

Issue for v1.1: Transferred from checking to savings but message shows from savings to checking. Amount is correct.

!Screenshot 2024-02-04 at 4.44.36 PM.png|width=765,height=407!

!Screenshot 2024-02-04 at 4.47.50 PM.png|width=767,height=407!",,Kunj Patel,712020:bd2fab97-24e8-4f4c-909e-8d9b0cb75f9b,,,,,,,,,04/Feb/24 6:54 PM;712020:bd2fab97-24e8-4f4c-909e-8d9b0cb75f9b;Screenshot 2024-02-04 at 4.44.36 PM.png;https://ucalgary-abhijeetkarmakar.atlassian.net/rest/api/3/attachment/content/10027,04/Feb/24 6:54 PM;712020:bd2fab97-24e8-4f4c-909e-8d9b0cb75f9b;Screenshot 2024-02-04 at 4.47.50 PM.png;https://ucalgary-abhijeetkarmakar.atlassian.net/rest/api/3/attachment/content/10028,,,,,,,,,,,,,,,,0|i000a7:,,,,,,,,,,,,To Do,04/Feb/24 6:54 PM
"""TRANSFER FROM:"" and ""TO:"" values are reversed.",S1A-26,10053,Bug,To Do,S1A,Seng637-11-assign1,software,Mohammad Mohaiminul Islam,712020:e633d865-9046-4bea-9930-c03e1db198cf,,High,,,,Mohammad Mohaiminul Islam,712020:e633d865-9046-4bea-9930-c03e1db198cf,Mohammad Mohaiminul Islam,712020:e633d865-9046-4bea-9930-c03e1db198cf,04/Feb/24 3:04 PM,04/Feb/24 3:05 PM,04/Feb/24 7:35 PM,,ATM System - Lab 1 Version 1.0,ATM System - Lab 1 Version 1.1,,,0,"""TRANSFER FROM:"" and ""TO:"" values are reversed. Meaning, that the actual transfer was from Savings to a Checking account but the receipt shows the opposite.

!image-20240204-220251.png|width=609,height=441!

Preconditions:

* v1.0, v1.1
* Advance to log in

Steps to recreate: 
1 - Press 3 to transfer
2 - Select Checking account

3 - Select Savings account
4 - Input transfer balance

# Check the receipt showing the ""TRANSFER FROM:"" and ""TO:"" accounts for validating.",,Mohammad Mohaiminul Islam,712020:e633d865-9046-4bea-9930-c03e1db198cf,,,,,,,,,04/Feb/24 3:04 PM;ug:03f08237-11f1-4f45-926a-29c6cdaf9bbb;image-20240204-220251.png;https://ucalgary-abhijeetkarmakar.atlassian.net/rest/api/3/attachment/content/10020,,,,,,,,,,,,,,,,,0|i0009j:,,,,,,,,,,,,To Do,04/Feb/24 3:04 PM
Transfer amount from checking to savings and vice versa is $0.50 less than the stated amount,S1A-25,10052,Bug,To Do,S1A,Seng637-11-assign1,software,Mohammad Mohaiminul Islam,712020:e633d865-9046-4bea-9930-c03e1db198cf,,Highest,,,,Mohammad Mohaiminul Islam,712020:e633d865-9046-4bea-9930-c03e1db198cf,Mohammad Mohaiminul Islam,712020:e633d865-9046-4bea-9930-c03e1db198cf,04/Feb/24 2:52 PM,04/Feb/24 2:56 PM,05/Feb/24 9:40 PM,,ATM System - Lab 1 Version 1.0,,ATM System - Lab 1 Version 1.1,,0,"Transfer amount from checking to savings and vice versa is $0.50 less than the stated amount.

For example, a transfer amount input of $100 will result in the transfer of $99.50.



!image-20240204-215207.png|width=609,height=441!

Preconditions:

* v1.0
* Advance to log in

Steps to recreate: 
1 - Press 3 to transfer
2 - Select Checking account 

3 - Select Savings account
4 - Input transfer balance

5. Check the receipt showing the transferred balance ",,Mohammad Mohaiminul Islam,712020:e633d865-9046-4bea-9930-c03e1db198cf,,,,,,,,,04/Feb/24 2:52 PM;ug:03f08237-11f1-4f45-926a-29c6cdaf9bbb;image-20240204-215207.png;https://ucalgary-abhijeetkarmakar.atlassian.net/rest/api/3/attachment/content/10019,,,,,,,,,,,,,,,,,0|i0009b:,,,,,,,,,,,,To Do,04/Feb/24 2:52 PM
Spelling mistake ('wood' instead of 'would') when prompting for another transaction[Repeated],S1A-24,10051,Bug,To Do,S1A,Seng637-11-assign1,software,Mohammad Mohaiminul Islam,712020:e633d865-9046-4bea-9930-c03e1db198cf,,Medium,,,,Mohammad Mohaiminul Islam,712020:e633d865-9046-4bea-9930-c03e1db198cf,Mohammad Mohaiminul Islam,712020:e633d865-9046-4bea-9930-c03e1db198cf,04/Feb/24 2:42 PM,04/Feb/24 7:36 PM,05/Feb/24 9:40 PM,,ATM System - Lab 1 Version 1.0,,ATM System - Lab 1 Version 1.1,,0,"Spelling mistake ('wood' instead of 'would') when prompting for another transaction under feature: transfer

!image-20240204-214150.png|width=612,height=442!",,Mohammad Mohaiminul Islam,712020:e633d865-9046-4bea-9930-c03e1db198cf,,,,,,,,,04/Feb/24 2:42 PM;ug:03f08237-11f1-4f45-926a-29c6cdaf9bbb;image-20240204-214150.png;https://ucalgary-abhijeetkarmakar.atlassian.net/rest/api/3/attachment/content/10018,,,,,,,,,,,,,,,,,0|i00093:,,,,,,,,,,,,To Do,04/Feb/24 2:42 PM
Withdraw cash selection unresponsive after initial withdrawal,S1A-23,10050,Bug,To Do,S1A,Seng637-11-assign1,software,Mohammad Mohaiminul Islam,712020:e633d865-9046-4bea-9930-c03e1db198cf,,Medium,,,,Ameen Yarkhan,70121:e037ba67-fa37-401f-a0cd-c017b1a81c18,Ameen Yarkhan,70121:e037ba67-fa37-401f-a0cd-c017b1a81c18,03/Feb/24 11:37 PM,03/Feb/24 11:37 PM,05/Feb/24 9:40 PM,,ATM System - Lab 1 Version 1.1,,,,0,"*Attachment won’t work for some reason 

Preconditions: 

* v1.1 
* Successfully logged in, one successful withdrawal completed, on screen prompted to perform another transaction 

Steps to recreate: 

* Choose yes 
* Choose withdrawal 
* Choose amount within balance ",,Ameen Yarkhan,70121:e037ba67-fa37-401f-a0cd-c017b1a81c18,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0008v:,,,,,,,,,,,,To Do,03/Feb/24 11:37 PM
"MFT-17:Withdrew $200 from chk with $100 bal, received $20 also deducted from balance",S1A-21,10048,Bug,To Do,S1A,Seng637-11-assign1,software,Mohammad Mohaiminul Islam,712020:e633d865-9046-4bea-9930-c03e1db198cf,,High,,,,Ameen Yarkhan,70121:e037ba67-fa37-401f-a0cd-c017b1a81c18,Ameen Yarkhan,70121:e037ba67-fa37-401f-a0cd-c017b1a81c18,03/Feb/24 10:46 PM,03/Feb/24 10:46 PM,04/Feb/24 7:28 PM,,ATM System - Lab 1 Version 1.0,,ATM System - Lab 1 Version 1.1,,0,"!Screenshot 2024-02-03 at 10.43.31 PM.png|width=765,height=407!

Precondition: 

* v1.0 
* Initialize system with $600 (30 bills)
* Log in successfully 

Steps to recreate: 

# Press 1 for withdrawal
# Press 1 for chkg
# Press 5 to withdraw $200 ",,Ameen Yarkhan,70121:e037ba67-fa37-401f-a0cd-c017b1a81c18,,,,,,,,,03/Feb/24 10:46 PM;70121:e037ba67-fa37-401f-a0cd-c017b1a81c18;Screenshot 2024-02-03 at 10.43.31 PM.png;https://ucalgary-abhijeetkarmakar.atlassian.net/rest/api/3/attachment/content/10017,,,,,,,,,,,,,,,,,0|i0008n:,,,,,,,,,,,,To Do,03/Feb/24 10:46 PM
Deposit $10 into checking does not update balance,S1A-20,10047,Bug,To Do,S1A,Seng637-11-assign1,software,Mohammad Mohaiminul Islam,712020:e633d865-9046-4bea-9930-c03e1db198cf,,Highest,,,,Ameen Yarkhan,70121:e037ba67-fa37-401f-a0cd-c017b1a81c18,Ameen Yarkhan,70121:e037ba67-fa37-401f-a0cd-c017b1a81c18,03/Feb/24 10:33 PM,03/Feb/24 10:36 PM,03/Feb/24 10:34 PM,,ATM System - Lab 1 Version 1.0,,ATM System - Lab 1 Version 1.1,,0,"!Screenshot 2024-02-03 at 10.32.22 PM.png|width=763,height=408!

Pre conditions: 

* v1.0
* Advance to log in





Steps to recreate: 
1 - Press 1 to deposit 
2 - Select Checking account

3 - Deposit $10 into checking 
4 - Check remaining balance ",,Ameen Yarkhan,70121:e037ba67-fa37-401f-a0cd-c017b1a81c18,,,,,,,,,03/Feb/24 10:33 PM;70121:e037ba67-fa37-401f-a0cd-c017b1a81c18;Screenshot 2024-02-03 at 10.32.22 PM.png;https://ucalgary-abhijeetkarmakar.atlassian.net/rest/api/3/attachment/content/10016,,,,,,,,,,,,,,,,,0|i0008f:,,,,,,,,,,,,To Do,03/Feb/24 10:33 PM
Withdrawal Account Choice Throw $20 when a number is entered other than shown in the list,S1A-18,10045,Bug,To Do,S1A,Seng637-11-assign1,software,Mohammad Mohaiminul Islam,712020:e633d865-9046-4bea-9930-c03e1db198cf,,Highest,,,,Saif Abuhajleh,712020:df4db3b4-9371-423b-8d04-6f61394f4827,Saif Abuhajleh,712020:df4db3b4-9371-423b-8d04-6f61394f4827,03/Feb/24 4:41 AM,03/Feb/24 4:42 AM,03/Feb/24 10:31 PM,,ATM System - Lab 1 Version 1.0,,ATM System - Lab 1 Version 1.1,,0,"Withdrawal Account Choice Throw $20 when a number is entered other than shown in the list and doesn’t show in Logs.

!Desktop Screenshot 2024.02.03 - 04.35.07.86.png|width=50%!

Pre Conditions:

1- Running V1.0

2-Logged in as a user



Steps:

1- Click 1 to Choose the Withdrawal

2- Click Any Number other than the ones shown on the screen

3- $20 bill will be thrown and not registered in logs",,Saif Abuhajleh,712020:df4db3b4-9371-423b-8d04-6f61394f4827,,,,,,,,,03/Feb/24 4:41 AM;712020:df4db3b4-9371-423b-8d04-6f61394f4827;Desktop Screenshot 2024.02.03 - 04.35.07.86.png;https://ucalgary-abhijeetkarmakar.atlassian.net/rest/api/3/attachment/content/10015,,,,,,,,,,,,,,,,,0|i00087:,,,,,,,,,,,,To Do,03/Feb/24 4:41 AM
Withdrawal List if given any number other than shown in the list would throw $20 bills.,S1A-17,10044,Bug,To Do,S1A,Seng637-11-assign1,software,Mohammad Mohaiminul Islam,712020:e633d865-9046-4bea-9930-c03e1db198cf,,Highest,,,,Saif Abuhajleh,712020:df4db3b4-9371-423b-8d04-6f61394f4827,Saif Abuhajleh,712020:df4db3b4-9371-423b-8d04-6f61394f4827,03/Feb/24 4:32 AM,03/Feb/24 4:32 AM,05/Feb/24 9:40 PM,,ATM System - Lab 1 Version 1.0,,ATM System - Lab 1 Version 1.1,,0,"Withdrawal List if given any number other than shown in the list would throw $20 bills and it won't show in the Logs

!Desktop Screenshot 2024.02.03 - 04.25.57.39.png|width=467,height=342!

Steps to recreate:

Pre Cond:

Running Version 1.0

and Logged in 

Steps:

1- Pick Withdrawal Transaction

2-Choose an account that is accessible by the user

3- Enter 7 for an example

4- $20 bill will get thrown and registered in Logs",,Saif Abuhajleh,712020:df4db3b4-9371-423b-8d04-6f61394f4827,,,,,,,,,03/Feb/24 4:32 AM;712020:df4db3b4-9371-423b-8d04-6f61394f4827;Desktop Screenshot 2024.02.03 - 04.25.57.39.png;https://ucalgary-abhijeetkarmakar.atlassian.net/rest/api/3/attachment/content/10014,,,,,,,,,,,,,,,,,0|i0007z:,,,,,,,,,,,,To Do,03/Feb/24 4:32 AM
